Number,Word,Type,Pronounce,Meaning
928,bought,,drʌm,bought
929,led,,drʌŋk,led
930,pitch,,drai,pitch
931,coat,,"du, dyu",coat
932,mass,,dʌl,mass
933,card,,dʌmp,card
934,band,,djuəriɳ,band
935,rope,,dʌst,rope
936,slip,,dju:ti,slip
937,win,,,win
938,dream,,ˈdaɪɪŋ,dream
939,evening,,,evening
940,condition,,i:tʃ,condition
941,feed,,,feed
942,tool,,iə,tool
943,total,,́ə:li,total
944,basic,,ə:n,basic
945,smell,,ə:θ,smell
946,valley,,i:z,valley
947,nor,,i:zili,nor
948,double,,i:st,double
949,seat,,i:stən,seat
950,continue,,i:zi,continue
951,block,,i:t,block
952,chart,,̧i:kə ́nɔmik,chart
953,hat,,ɪˈkɒnəmi,hat
954,sell,,edӡ,sell
955,success,,i'diʃn,success
956,company,,́editə,company
957,subtract,,edju:keit,subtract
958,event,,edju:keitid,event
959,particular,,",edju:'keiʃn",particular
960,deal,,i'fekt,deal
961,swim,,ifektiv,swim
962,term,,i'fektivli,term
963,opposite,,i'fiʃənt,opposite
964,wife,,i'fiʃəntli,wife
965,shoe,,́efə:t,shoe
966,shoulder,,eg,shoulder
967,spread,,́aiðə,spread
968,arrange,,elbou,arrange
969,camp,,́eldəli,camp
970,invent,,i ́lekt,invent
971,cotton,,i ́lekʃən,cotton
972,born,,ɪˈlɛktrɪk,born
973,determine,,i'lektrikəl,determine
974,quart,,ilek'trisiti,quart
975,nine,,"ɪlɛkˈtrɒnɪk ,ˌilɛkˈtrɒnɪk",nine
976,truck,,́eligənt,truck
977,noise,,ˈɛləmənt,noise
978,level,,ˈɛləˌveɪtər,level
979,chance,,els,chance
980,gather,,̧els ́wɛə,gather
981,shop,,imeil,shop
982,stretch,,im ́bærəs,stretch
983,throw,,im ́bærəst,throw
984,shine,,im ́bærəsiη,shine
985,property,,im ́bærəsmənt,property
986,column,,i ́mə:dʒ,column
987,molecule,,i'mз:dЗensi,molecule
988,select,,i'moƱʃ(ә)n,select
989,wrong,,i ́mouʃənəl,wrong
990,gray,,i ́mouʃənəli,gray
991,repeat,,́emfəsis,repeat
992,require,,ˈɛmfəˌsaɪz,require
993,broad,,empaiə,broad
994,prepare,,im'plɔi,prepare
995,salt,,̧emplɔi ́i:,salt
996,nose,,em ́plɔiə,nose
997,plural,,im'plɔimənt,plural
998,anger,,empti,anger
999,claim,,i'neibl,claim
1000,continent,,in'kautә,continent
